id,player,piece,start,result,Site,survived,victory,survived_or_victory,match_name,killed_by
B-P-f,black,Pawn,,white wins,https://lichess.org/j1dkb5dw,False,True,False,BFG9k (white) vs mamalak (black),W-Q
B-P-h,black,Pawn,h7,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-R-a,black,Rook,a8,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-B-f,black,Bishop,f8,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
B-R-h,black,Rook,h8,white wins,https://lichess.org/j1dkb5dw,True,True,True,BFG9k (white) vs mamalak (black),
W-B-c,white,Bishop,h8,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
B-R-a,black,Rook,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-B-c
W-Q,white,Queen,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-R-a
B-K,black,King,d7,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-Q,black,Queen,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-Q
W-K,white,King,d2,white wins,https://lichess.org/a9tcp02g,True,False,False,Desmond_Wilson (white) vs savinka59 (black),
B-N-b,black,Knight,d4,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-R-h,black,Rook,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-Q
W-N-b,white,Knight,e4,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-d,black,Pawn,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-N-b
W-P-e,white,Pawn,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-P-d
B-B-f,black,Bishop,d6,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
W-B-f,white,Bishop,d3,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-e,black,Pawn,e6,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-h,black,Pawn,g6,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
W-N-g,white,Knight,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-P-h
B-B-c,black,Bishop,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-N-g
B-N-g,black,Knight,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-B-c
W-P-d,white,Pawn,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-N-b
W-R-a,white,Rook,a1,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-R-h,white,Rook,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-R-h
W-P-a,white,Pawn,a2,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-P-b,white,Pawn,b2,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-P-c,white,Pawn,c2,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-P-f,white,Pawn,f2,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-P-g,white,Pawn,g2,white wins,https://lichess.org/a9tcp02g,True,False,True,Desmond_Wilson (white) vs savinka59 (black),
W-P-h,white,Pawn,,white wins,https://lichess.org/a9tcp02g,False,False,False,Desmond_Wilson (white) vs savinka59 (black),B-R-h
B-P-a,black,Pawn,a7,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-b,black,Pawn,b7,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-c,black,Pawn,c7,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-f,black,Pawn,f7,white wins,https://lichess.org/a9tcp02g,True,True,True,Desmond_Wilson (white) vs savinka59 (black),
B-P-g,black,Pawn,,white wins,https://lichess.org/a9tcp02g,False,True,False,Desmond_Wilson (white) vs savinka59 (black),W-Q
W-N-b,white,Knight,c7,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-Q,black,Queen,e6,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-d,black,Pawn,,white wins,https://lichess.org/szom2tog,False,True,False,Kozakmamay007 (white) vs VanillaShamanilla (black),W-N-b
W-P-h,white,Pawn,h3,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-K,white,King,f1,white wins,https://lichess.org/szom2tog,True,False,False,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-N-g,black,Knight,g4,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-P-d,white,Pawn,d3,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-N-b,black,Knight,d4,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-B-f,black,Bishop,,white wins,https://lichess.org/szom2tog,False,True,False,Kozakmamay007 (white) vs VanillaShamanilla (black),W-K
W-P-a,white,Pawn,a3,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-B-f,white,Bishop,c4,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-N-g,white,Knight,f3,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-e,black,Pawn,e5,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-P-e,white,Pawn,e4,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-R-a,white,Rook,a1,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-B-c,white,Bishop,c1,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-Q,white,Queen,d1,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-R-h,white,Rook,h1,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-P-b,white,Pawn,b2,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-P-c,white,Pawn,c2,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
W-P-f,white,Pawn,,white wins,https://lichess.org/szom2tog,False,False,False,Kozakmamay007 (white) vs VanillaShamanilla (black),B-B-f
W-P-g,white,Pawn,g2,white wins,https://lichess.org/szom2tog,True,False,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-a,black,Pawn,a7,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-b,black,Pawn,b7,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-c,black,Pawn,,white wins,https://lichess.org/szom2tog,False,True,False,Kozakmamay007 (white) vs VanillaShamanilla (black),W-N-b
B-P-f,black,Pawn,f7,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-g,black,Pawn,g7,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-h,black,Pawn,h7,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-R-a,black,Rook,a8,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-B-c,black,Bishop,c8,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-K,black,King,e8,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-R-h,black,Rook,h8,white wins,https://lichess.org/szom2tog,True,True,True,Kozakmamay007 (white) vs VanillaShamanilla (black),
B-P-c,black,Pawn,c4,black wins,https://lichess.org/rklpc7mk,True,False,True,Naitero_Nagasaki (white) vs 800 (black),
W-K,white,King,a4,black wins,https://lichess.org/rklpc7mk,True,True,True,Naitero_Nagasaki (white) vs 800 (black),
B-K,black,King,d4,black wins,https://lichess.org/rklpc7mk,True,False,False,Naitero_Nagasaki (white) vs 800 (black),
B-P-b,black,Pawn,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-K
W-P-a,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-P-b
B-B-f,black,Bishop,g5,black wins,https://lichess.org/rklpc7mk,True,False,True,Naitero_Nagasaki (white) vs 800 (black),
W-P-g,white,Pawn,g6,black wins,https://lichess.org/rklpc7mk,True,True,True,Naitero_Nagasaki (white) vs 800 (black),
W-P-h,white,Pawn,h5,black wins,https://lichess.org/rklpc7mk,True,True,True,Naitero_Nagasaki (white) vs 800 (black),
W-P-f,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-B-f
B-P-h,black,Pawn,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-K
W-R-a,white,Rook,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-K
B-R-h,black,Rook,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-R-a
B-R-a,black,Rook,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-R-a
W-P-d,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-B-f
W-R-h,white,Rook,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-R-a
W-N-g,white,Knight,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-P-h
B-Q,black,Queen,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-P-f
W-Q,white,Queen,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-Q
W-P-c,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-B-f
B-P-f,black,Pawn,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-N-g
W-B-f,white,Bishop,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-P-f
B-N-b,black,Knight,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-N-g
W-B-c,white,Bishop,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-N-b
B-P-e,black,Pawn,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-B-f
B-B-c,black,Bishop,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-N-g
W-N-b,white,Knight,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-N-b
B-N-g,black,Knight,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-N-b
B-P-d,black,Pawn,,black wins,https://lichess.org/rklpc7mk,False,False,False,Naitero_Nagasaki (white) vs 800 (black),W-N-b
W-P-e,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-P-d
W-P-b,white,Pawn,,black wins,https://lichess.org/rklpc7mk,False,True,False,Naitero_Nagasaki (white) vs 800 (black),B-B-f
B-P-a,black,Pawn,a7,black wins,https://lichess.org/rklpc7mk,True,False,True,Naitero_Nagasaki (white) vs 800 (black),
B-P-g,black,Pawn,g7,black wins,https://lichess.org/rklpc7mk,True,False,True,Naitero_Nagasaki (white) vs 800 (black),
B-B-c,black,Bishop,h3,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-K,white,King,f1,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-N-b,black,Knight,,black wins,https://lichess.org/1xb3os63,False,False,False,nichiren1967 (white) vs Naitero_Nagasaki (black),W-K
W-B-f,white,Bishop,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-B-c
B-P-h,black,Pawn,h5,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-R-h,white,Rook,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-N-b
B-K,black,King,f7,black wins,https://lichess.org/1xb3os63,True,False,False,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-N-g,white,Knight,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-K
B-N-g,black,Knight,,black wins,https://lichess.org/1xb3os63,False,False,False,nichiren1967 (white) vs Naitero_Nagasaki (black),W-R-h
W-N-b,white,Knight,d2,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-P-h,white,Pawn,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-B-c
W-P-g,white,Pawn,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-N-g
W-P-d,white,Pawn,d3,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-P-c,white,Pawn,c3,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-Q,black,Queen,b6,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-c,black,Pawn,c5,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-P-e,white,Pawn,e5,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-d,black,Pawn,d5,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-P-f,white,Pawn,f4,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-e,black,Pawn,,black wins,https://lichess.org/1xb3os63,False,False,False,nichiren1967 (white) vs Naitero_Nagasaki (black),W-B-f
W-R-a,white,Rook,a1,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-B-c,white,Bishop,c1,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-Q,white,Queen,,black wins,https://lichess.org/1xb3os63,False,True,False,nichiren1967 (white) vs Naitero_Nagasaki (black),B-N-g
W-P-a,white,Pawn,a2,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-P-b,white,Pawn,b2,black wins,https://lichess.org/1xb3os63,True,True,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-a,black,Pawn,a7,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-b,black,Pawn,b7,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-P-f,black,Pawn,,black wins,https://lichess.org/1xb3os63,False,False,False,nichiren1967 (white) vs Naitero_Nagasaki (black),W-N-g
B-P-g,black,Pawn,g7,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-R-a,black,Rook,a8,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-B-f,black,Bishop,f8,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
B-R-h,black,Rook,h8,black wins,https://lichess.org/1xb3os63,True,False,True,nichiren1967 (white) vs Naitero_Nagasaki (black),
W-Q,white,Queen,d5,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
B-R-a,black,Rook,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
W-R-a,white,Rook,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-R-a
B-K,black,King,d7,white wins,https://lichess.org/6x5nq6qd,True,True,True,sport (white) vs shamirbj (black),
B-P-d,black,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-R-a
B-P-e,black,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
W-P-d,white,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-R-a
B-B-c,black,Bishop,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-P-d
W-P-b,white,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-B-c
B-P-h,black,Pawn,h6,white wins,https://lichess.org/6x5nq6qd,True,True,True,sport (white) vs shamirbj (black),
B-P-g,black,Pawn,g5,white wins,https://lichess.org/6x5nq6qd,True,True,True,sport (white) vs shamirbj (black),
W-N-g,white,Knight,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-P-g
B-B-f,black,Bishop,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-N-g
W-P-g,white,Pawn,g3,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
W-N-b,white,Knight,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-B-f
B-P-b,black,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
B-Q,black,Queen,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
W-R-h,white,Rook,f1,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
W-K,white,King,g1,white wins,https://lichess.org/6x5nq6qd,True,False,False,sport (white) vs shamirbj (black),
B-N-b,black,Knight,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-P-d
B-R-h,black,Rook,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
W-P-c,white,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-B-f
W-B-c,white,Bishop,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-P-g
B-N-g,black,Knight,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-B-c
W-B-f,white,Bishop,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-N-b
W-P-e,white,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,False,False,sport (white) vs shamirbj (black),B-B-c
W-P-a,white,Pawn,a2,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
W-P-f,white,Pawn,f2,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
W-P-h,white,Pawn,h2,white wins,https://lichess.org/6x5nq6qd,True,False,True,sport (white) vs shamirbj (black),
B-P-a,black,Pawn,,white wins,https://lichess.org/6x5nq6qd,False,True,False,sport (white) vs shamirbj (black),W-Q
B-P-c,black,Pawn,c7,white wins,https://lichess.org/6x5nq6qd,True,True,True,sport (white) vs shamirbj (black),
B-P-f,black,Pawn,f7,white wins,https://lichess.org/6x5nq6qd,True,True,True,sport (white) vs shamirbj (black),
B-Q,black,Queen,g4,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-N-g,white,Knight,g5,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-B-c,black,Bishop,h3,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-B-c,white,Bishop,h2,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-P-h,black,Pawn,h4,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-P-h,white,Pawn,,black wins,https://lichess.org/fl7asfa0,False,True,False,tiggran (white) vs arion_6 (black),B-B-c
B-P-g,black,Pawn,,black wins,https://lichess.org/fl7asfa0,False,False,False,tiggran (white) vs arion_6 (black),W-N-g
B-R-a,black,Rook,,black wins,https://lichess.org/fl7asfa0,False,False,False,tiggran (white) vs arion_6 (black),W-N-g
W-N-b,white,Knight,,black wins,https://lichess.org/fl7asfa0,False,True,False,tiggran (white) vs arion_6 (black),B-R-a
W-Q,white,Queen,a6,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-N-b,black,Knight,,black wins,https://lichess.org/fl7asfa0,False,False,False,tiggran (white) vs arion_6 (black),W-Q
W-B-f,white,Bishop,,black wins,https://lichess.org/fl7asfa0,False,True,False,tiggran (white) vs arion_6 (black),B-N-b
B-P-d,black,Pawn,d6,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-K,white,King,g1,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
W-R-h,white,Rook,f1,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-R-h,black,Rook,f8,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
B-K,black,King,g8,black wins,https://lichess.org/fl7asfa0,True,False,False,tiggran (white) vs arion_6 (black),
W-P-c,white,Pawn,c3,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-B-f,black,Bishop,c5,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-P-d,white,Pawn,d3,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
B-N-g,black,Knight,f6,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
B-P-e,black,Pawn,e5,black wins,https://lichess.org/fl7asfa0,True,False,True,tiggran (white) vs arion_6 (black),
W-P-e,white,Pawn,e4,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
W-R-a,white,Rook,a1,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
W-P-a,white,Pawn,a2,black wins,https://lichess.org/fl7asfa0,True,True,True,tiggran (white) vs arion_6 (black),
